name,email,address,phone_number,birthdate
Василина Гоголь,bzubko@ukr.net,"узвіз Сашка Хорошенка, буд. 1 кв. 0, Яготин, 95782",+380 79 560-77-64,1983-03-07
Остап Нестайко,llupii@gmail.com,"сквер Кришталева, буд. 2, Нова Каховка, 81859",+380 79 725 16 43,1965-07-22
Вʼячеслав Зубко,solomiiademianiuk@nav4it.org,"провулок Житомирська, буд. 20 кв. 8, Куп'янськ, 54776",+380 (38) 935-72-92,1999-09-25
добродій Гаврило Затовканюк,ubandurka@ukr.net,"провулок Побратимів, буд. 051, Середина-Буда, 06559",079 685 35 22,1976-03-16
Алевтин Безбородько,myroslavandriishyn@gmail.com,"провулок Угорська, буд. 914, Дніпро, 28076",805-46-72,2004-02-13
Ярослав Гаврилишин,emiliia86@ukr.net,"набережна Кривобалківська, буд. 8 кв. 42, Вишгород, 17523",460 67 48,1979-03-23
Ліза Чубай,zynovii58@nav4it.org,"сквер Рівності, буд. 828, Богодухів, 70438",709 42 36,1993-06-29
Оксана Носаченко,svasylevych@ukr.net,"проспект Хаджибейський, буд. 169, Ровеньки, 37959",800-91-36,1966-11-18
Лілія Верменич,pshylo@ukr.net,"вулиця Климовича, буд. 738, Вашківці, 03131",+380 61 020 57 55,2001-02-21
пані Сніжана Колісниченко,tsisykhalyna@nav4it.org,"проспект Восьмого березня, буд. 55, Сторожинець, 39083",+380 (77) 203-04-96,1970-06-11
пані Тетяна Єрмоленко,romanilchenko@gmail.com,"проспект Новосельского, буд. 27 кв. 85, Маріуполь, 94769",+380 52 905-38-34,1992-08-21
Станіслав Корпанюк,ihororlyk@nav4it.org,"шосе Тупиковий 1-й, буд. 176, Ровеньки, 70925",+380 84 896-25-66,1970-07-02
Михайло Гаврилюк,amvrosiidarahan@ukr.net,"узвіз 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 558, Дубровиця, 99135",035 737 61 56,1973-04-23
Зиновій Рябовіл,leonid59@nav4it.org,"шосе Високий, буд. 436, Овруч, 17542",065 994-46-36,1984-08-01
Зорян Негода,pzasukha@gmail.com,"набережна Мелітопольська, буд. 89, Старобільськ, 59900",+380 (26) 331-05-40,1986-12-23
Василина Гаврилюк,hanna36@ukr.net,"площа Мала Арнаутська, буд. 950, Джанкой, 57143",+380 23 844 60 29,2001-06-22
Ігор Удовиченко,sviatoslavvermenych@ukr.net,"узвіз Травневий 3-й, буд. 120 кв. 60, Щолкіне, 92267",+380 (14) 551-40-92,2005-11-02
Оксенія Тягнибок,lemeshkospas@ukr.net,"проспект Сухолиманна, буд. 5 кв. 814, Калуш, 44744",963 61 20,1989-08-02
Ярина Василевич,adamchukiaroslava@ukr.net,"провулок Тіниста, буд. 775 кв. 326, Фастів, 55432",870 97 73,1970-07-19
Олесь Абраменко,vadymhres@ukr.net,"вулиця Давида Бурлюка, буд. 47, Теребовля, 22088",+380 80 296 05 31,1975-04-12
панна Ганна Литвиненко,haidairostyslav@nav4it.org,"проспект Тупиковий, буд. 0, Бахмут, 08923",898-21-01,2003-01-12
Анастасія Петренко,irynaartiukh@gmail.com,"проспект Ф. Пішеніна, буд. 5 кв. 9, Зборів, 16055",+380 86 761 98 25,2000-04-23
Мілена Верес,ostapiemets@ukr.net,"сквер Олександра Станкова, буд. 079, Зимогір'я, 63613",004 814-23-66,1967-01-25
Алевтин Вернидуб,iesypenkoada@nav4it.org,"узвіз Героїв прикордонників, буд. 327, Путивль, 09107",+380 55 305 90 17,2002-01-19
Ростислав Прокопович,mykhailopalii@gmail.com,"проспект Гвоздичний, буд. 1, Вознесенівка, 36438",+380 93 322 58 81,1999-07-28
Ольга Баранник,bohuslava50@ukr.net,"провулок Тепличний 2-й, буд. 0, Петрово-Красносілля, 13292",+380 92 223 93 59,1981-03-16
Федір Акименко,iakivbabiichuk@nav4it.org,"сквер Зої Пасічної, буд. 589 кв. 038, Антрацит, 94813",+380 (02) 851-47-54,1978-03-20
Богданна Негода,ybabenko@ukr.net,"шосе Незалежності, буд. 07 кв. 654, Ворожба, 82180",+380 (50) 522-80-10,1977-08-18
Остап Дубина,sviatoslav87@ukr.net,"площа Луцька, буд. 51, Вашківці, 58979",+380 09 928-84-64,1973-01-26
Анжела Оліфіренко,levkooberemko@ukr.net,"парк Сергія Ядова, буд. 65, Яремче, 12379",+380 28 394-47-96,2000-03-27
Орхип Шведченко,aostapchuk@nav4it.org,"узвіз Садовий, буд. 201 кв. 43, Хотин, 15775",323 97 31,1973-02-13
Сніжана Яременко,ievakomar@gmail.com,"набережна Василя Фащенка, буд. 218, Зеленодольськ, 54037",563-58-43,1961-06-15
Борислав Сімашкевич,adamfareniuk@nav4it.org,"площа Аграрна, буд. 81 кв. 115, Лубни, 51301",475-62-22,1994-11-18
Оксана Стельмах,oadamenko@ukr.net,"площа Хвиляста, буд. 31, Золотоноша, 02993",083-05-93,1969-05-13
Ада Чередник,danyloumanets@gmail.com,"провулок Миколаївський 1-й, буд. 21, Деражня, 21018",486-40-12,1974-06-10
Вікторія Бевз,chumakvioletta@nav4it.org,"сквер Лінія 42-га, буд. 44 кв. 1, Люботин, 62804",129 43 58,1980-03-14
Жайворон Ярема Симонович,martyn03@nav4it.org,"проспект Прокатна, буд. 7 кв. 242, Кривий Ріг, 45004",019 59 37,1960-05-19
Тимофій Данько,semen69@ukr.net,"провулок Рішельєвська, буд. 8 кв. 70, Почаїв, 87013",082 915-41-69,1966-03-16
Орина Баранець,stuspylyp@nav4it.org,"сквер Одеса-Головна, буд. 25 кв. 62, Луцьк, 97272",344 49 69,1998-05-11
Анастасія Іщенко,cdeineka@ukr.net,"провулок Юннатів, буд. 6, Жмеринка, 54535",223 26 18,1972-12-25
Гордій Батіг,hsmyk@gmail.com,"вулиця Соляний 2-й, буд. 990, Ківерці, 11953",+380 29 300-60-75,1993-02-14
Симон Михайличенко,khorishkoamvrosii@gmail.com,"вулиця Курортний, буд. 712 кв. 76, Генічеськ, 59766",+380 (87) 064-50-82,1971-03-20
Юхим Хомик,bohuslavpelekh@ukr.net,"парк Глаубермана, буд. 0, Ніжин, 46988",+380 68 636-75-48,1998-01-16
Ярослава Скиба,ichumak@ukr.net,"провулок Виноградна 1-ша, буд. 547, Хотин, 12208",544-43-91,1991-06-15
Степан Колісниченко,leonid29@nav4it.org,"шосе Академіка Векслера, буд. 60, Вільногірськ, 80690",042-23-37,1982-05-12
Шаповал Дан Яремович,tnesterenko@ukr.net,"шосе Болградська, буд. 695, Рудки, 48373",+380 (62) 314-04-87,1966-03-16
Анжела Андрійчук,taras09@nav4it.org,"провулок Кустанайська, буд. 60, Рогатин, 27180",+380 (35) 177-94-17,2007-04-23
Алла Бабій,liubov40@ukr.net,"площа Політкаторжан, буд. 3, Ізмаїл, 98974",+380 (36) 109-25-82,1995-03-24
Тетяна Василевич,diakovenko@nav4it.org,"узвіз Миколаївська дорога, буд. 35, Харків, 78494",+380 36 717 32 58,2005-03-10
добродій Костянтин Малишко,vashchenkoprokhir@gmail.com,"шосе Офіцерський 1-й, буд. 2, Чугуїв, 46215",076 911-51-18,1988-11-01
пан Леон Ірванець,gbaidak@nav4it.org,"шосе Купріна, буд. 283, Монастирище, 02195",+380 60 214-20-27,1979-05-20
Амвросій Канівець,kabanenkoalla@gmail.com,"площа Басейний 6-й, буд. 828 кв. 77, Одеса, 49546",037 412-98-26,1973-03-06
Марта Адамчук,wprymachenko@ukr.net,"вулиця Наявний 4-й, буд. 57, Баштанка, 16585",030 509 76 80,1964-12-07
Геннадій Устенко,bohuslavaiaremenko@ukr.net,"сквер Кришталева, буд. 548, Любомль, 93177",+380 20 291 00 82,2001-09-16
Галина Івасюк,trokhymiakovenko@ukr.net,"провулок Манежна, буд. 2 кв. 089, Сторожинець, 08680",+380 (64) 673-42-10,1992-08-17
Яків Журба,hlavrenko@ukr.net,"проспект Училищна, буд. 47 кв. 3, Полтава, 87927",+380 93 585 64 61,1963-10-04
Марія Тиха,frants75@ukr.net,"проспект Сергія Ейзенштейна, буд. 1, Васильків, 03321",734-54-68,1959-10-17
Оксенія Конопленко,lutsenkohennadii@gmail.com,"парк Миколи Міхновського, буд. 11 кв. 56, Балаклія, 25702",634 39 06,1962-04-25
Пріска Александренко,zinchukpriska@gmail.com,"площа Республіканська, буд. 0, Хоростків, 81636",034 836-72-67,1976-02-09
Олесь Оберемко,zaleksandrenko@nav4it.org,"сквер Лиманчик 2-й Лінія 8-ма, буд. 75, Барвінкове, 35835",005 302-28-39,1976-01-28
Наталія Ковалюк,artem30@ukr.net,"набережна Заводська 1-ша, буд. 064, Ланівці, 76541",+380 75 681-46-39,1998-01-22
Мілена Кибкало,lahodaielysaveta@nav4it.org,"провулок Олександра Кутузакія, буд. 890 кв. 3, Корюківка, 26472",416-67-08,1961-02-21
Арсенич Тарас Азарович,wishchak@ukr.net,"вулиця Мельницька, буд. 7, Мар'їнка, 62607",+380 83 096 47 04,1988-09-18
Роксолана Полтавець,cdanyliuk@nav4it.org,"проспект Музична, буд. 2 кв. 0, Чорноморськ, 83983",010 060 17 52,2002-05-05
Руслан Бакуменко,zakusylolarysa@nav4it.org,"провулок Лінійна, буд. 6, Євпаторія, 48258",071 158 98 03,1959-12-29
Роксолана Зінченко,fprytula@nav4it.org,"парк Кавунова, буд. 628 кв. 5, Тульчин, 68481",+380 56 191-26-51,1964-03-05
Соломія Лагода,khoma53@ukr.net,"сквер Михайла Жука, буд. 2, Златопіль, 37952",+380 (65) 443-95-68,1976-05-19
Юхим Корпанюк,medvedenkoparmen@gmail.com,"парк Кавказька, буд. 109 кв. 487, Очаків, 13195",+380 82 111 48 73,1998-04-23
пані Розалія Шутько,shabliipanteleimon@ukr.net,"узвіз Мостовий, буд. 990 кв. 00, Бахмач, 30692",+380 (80) 054-79-95,1979-04-11
Богодар Гаврилишин,miroshnychenkomariana@ukr.net,"сквер Мельницька, буд. 4, Бахмут, 68537",+380 09 584-49-39,1992-03-13
Єва Шевченко,ievdokymenkoveniiamyn@ukr.net,"сквер Карантинний узвіз, буд. 60, Роздільна, 55124",+380 78 913-10-00,1977-12-27
Вобла Юстина Борисівна,bohdan39@gmail.com,"набережна Чорноморський 7-й, буд. 0, Очаків, 01863",054 600-32-72,1983-08-23
пан Василь Гуцуляк,umalyk@ukr.net,"шосе Прохоровський, буд. 51 кв. 1, Боярка, 96319",022 327-55-26,1972-05-23
Симон Алексеєнко,yderkach@gmail.com,"площа Бітумна, буд. 825 кв. 18, Ясинувата, 80718",+380 09 776-06-83,1991-03-14
Вʼячеслав Негода,aarontereshchenko@nav4it.org,"парк Іподромний, буд. 9, Новогродівка, 78346",035 37 20,1996-09-15
Борислав Онищенко,emiliiadakhno@ukr.net,"площа Ювілейний 1-й, буд. 465 кв. 9, Пологи, 30471",074 459 08 07,1985-08-12
Емілія Самойленко,arsenychvladyslav@nav4it.org,"провулок Панаса Мирного, буд. 95, Березівка, 88969",405-94-40,1998-07-02
Ілля Чумак,nataliia81@nav4it.org,"шосе Шевченка парк, буд. 206 кв. 1, Ромни, 84551",010 537-79-11,1994-07-02
Алла Франко,mykhailobabiuk@nav4it.org,"шосе Ігоря Бедзая, буд. 97, Луганськ, 94519",+380 36 754-05-02,1968-02-24
Чаленко Тарас Олегович,atroshchenkoavrelii@nav4it.org,"вулиця Аеродромний 3-й, буд. 8 кв. 0, Миколаїв, 34844",596-94-01,1988-01-19
Євген Шинкаренко,opanas71@ukr.net,"вулиця Давида Ойстраха, буд. 93, Новодністровськ, 93840",+380 63 879-02-55,2004-09-05
Артем Дубенко,lytvyntymofii@nav4it.org,"провулок Бригадна, буд. 57, Турка, 19323",026 691 18 71,1997-01-04
Охрім Їжак,okseniiatymchuk@gmail.com,"проспект Дальня, буд. 6 кв. 47, Куп'янськ, 63520",044 607-12-43,2007-05-17
Цушко Аарон Трохимович,prytulanadiia@nav4it.org,"провулок 6-та Лінія Марії Демченко, буд. 22 кв. 94, Чоп, 33462",190-69-32,1977-11-20
пан Веніямин Петренко,kylymnykoleh@ukr.net,"проспект Овідіопольський, буд. 04 кв. 0, Буринь, 05297",+380 23 915-09-25,2003-07-01
Олекса Нестеренко,dzhusalevtyn@gmail.com,"площа Стельмаха, буд. 274, Рахів, 54957",+380 78 828-60-23,1986-02-11
Герман Ґжицький,simashkevycholena@nav4it.org,"сквер Ігоря Кисельова, буд. 849, Лутугине, 50459",020 729-10-06,2000-09-08
Ірина Гаврилець,dmytrobhydenko@nav4it.org,"набережна Підйомний, буд. 84 кв. 64, Нікополь, 13758",+380 (36) 451-79-45,1968-10-05
Віолетта Бабʼюк,zorianbandera@gmail.com,"площа Родоканакі, буд. 14, Васильків, 98943",+380 (71) 238-87-80,1983-11-13
Ліза Годунок,zaikaanzhela@nav4it.org,"сквер Бахчева, буд. 850, Ровеньки, 45490",+380 (77) 340-60-69,1996-09-28
Симон Дзиндра,trokhymbevz@nav4it.org,"вулиця Дюківська, буд. 54, Берестин, 31588",+380 37 219-21-60,1986-01-03
Мілена Ісаєвич,shyianodarka@ukr.net,"набережна Газовий, буд. 193 кв. 8, Бровари, 43826",+380 58 762-04-25,2006-06-07
Єлисавета Дейнеко,frantsishchenko@ukr.net,"вулиця 2-й Академічний тупик, буд. 76 кв. 5, Богуслав, 70862",474 73 65,1963-05-30
Святослава Радченко,khoma36@nav4it.org,"парк Мазепи Івана, буд. 1 кв. 422, Моршин, 23799",+380 03 445 58 13,1994-11-05
Августин Макогон,rvashchuk@ukr.net,"вулиця Василя Кандинського 3-й, буд. 6 кв. 7, Бібрка, 72525",572 58 40,1983-11-19
пані Роксолана Гриценко,bohodar48@nav4it.org,"набережна Керченський 1-й, буд. 53 кв. 2, Апостолове, 02272",+380 (68) 385-62-67,1974-07-06
Едита Верхола,adamievdokymenko@nav4it.org,"узвіз Горизонтальна, буд. 90, Волноваха, 99511",+380 30 090 51 28,1968-06-18
Святослава Вергун,ytaran@ukr.net,"сквер Складська, буд. 302, Вилкове, 91903",+380 (47) 957-04-40,1999-04-07
Георгій Нестеренко,ievhen51@ukr.net,"шосе Восьмого березня 2-й, буд. 61, Петрово-Красносілля, 86823",873 45 54,1980-08-13
Софія Піддубна,freva@ukr.net,"площа Хімічний 1-й, буд. 334 кв. 166, Керч, 19009",+380 25 298-40-30,1959-07-22
Яків Гузь,chernenkozorian@nav4it.org,"набережна Водопровідний 2-й, буд. 530, Костопіль, 30538",426-56-03,1975-02-26
Валентин Атаманчук,voblyiiryna@gmail.com,"провулок Бейтельсбахера, буд. 54, Вишгород, 29475",+380 (88) 930-94-63,1991-03-30
Рева Олег Веніяминович,omelianzaiets@ukr.net,"набережна Лодочний, буд. 63, Пологи, 56589",+380 38 203 59 73,2001-05-15
Єлисавета Лазаренко,aorobets@gmail.com,"парк Братів Малакових, буд. 8 кв. 05, Снятин, 64971",+380 68 615-86-46,1996-07-24
Лариса Бабій,schaika@nav4it.org,"площа Університетський, буд. 9, Залізне, 18688",303 02 28,1977-03-23
Батюк Дарина Дмитріївна,derehusiakiv@ukr.net,"узвіз Сумська, буд. 15, Кагарлик, 44164",+380 (78) 296-31-29,1979-09-29
Вʼячеслав Архипенко,tverdokhlibamaliia@gmail.com,"площа Донецька, буд. 16, Лисичанськ, 44327",+380 (04) 657-23-41,2003-07-08
Демид Атаманюк,xbalaban@nav4it.org,"сквер Чорноморський 7-й, буд. 58 кв. 0, Кременчук, 36034",+380 96 875 98 37,1976-05-09
Степан Дурдинець,marusiabevz@ukr.net,"площа Деревообробний 4-й, буд. 870 кв. 4, Стрий, 97989",+380 (26) 209-91-75,1978-10-19
Одарка Сірченко,feofanmedvedenko@gmail.com,"шосе Лінійна, буд. 593, Старобільськ, 13085",033 801-27-38,1968-11-06
Христина Гресь,danylenkonestor@nav4it.org,"проспект Рибальська балка, буд. 094 кв. 1, Чуднів, 21988",937-76-71,2003-10-15
Роман Карпенко,teodorhrechko@ukr.net,"набережна Авангардна, буд. 7, Вижниця, 22457",+380 93 656 42 25,1966-02-20
Гліб Швачко,rriabets@ukr.net,"проспект Івана Луценка, буд. 8 кв. 58, Знам'янка, 05055",436 61 74,2003-09-25
Захар Сич,abrahamovskaleopold@nav4it.org,"проспект Хлібна гавань, буд. 25, Болград, 07261",+380 (85) 906-41-03,1993-12-16
Байда Леонтій Федорович,tvitruk@gmail.com,"проспект Капітана Кузнецова, буд. 491 кв. 38, Решетилівка, 36788",+380 (51) 761-83-97,1996-10-06
пані Мілена Чубай,sviatoslavderhach@gmail.com,"узвіз 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 976 кв. 70, Сквира, 55980",+380 (23) 265-12-50,1986-08-15
Амвросій Гаврилів,iukhym44@ukr.net,"вулиця Виноградна, буд. 067, Новодністровськ, 99748",+380 30 672-66-19,1988-02-25
Одарка Ніколюк,semenchenkoostap@gmail.com,"площа Кафедральна, буд. 86 кв. 4, Боково-Хрустальне, 71507",584 39 83,1987-12-21
Тимофій Даньків,gvertyporokh@gmail.com,"набережна Долинська, буд. 46, Хутір-Михайлівський, 61967",+380 53 517-26-94,1964-05-17
пан Павло Товстуха,hunkoiukhym@gmail.com,"узвіз Пересипська 7-ма, буд. 83, Гола Пристань, 17875",+380 37 974-53-98,1966-08-22
Дан Литвин,lukashpriska@gmail.com,"площа Картамишевський, буд. 4 кв. 317, Новогродівка, 96478",+380 65 442-54-23,1964-01-14
Златослава Матвієнко,vasyl50@nav4it.org,"провулок Деревообробна, буд. 09 кв. 77, Зоринськ, 76216",058 91 11,2003-11-08
Кабаненко Ольга Олександрівна,klymentbakumenko@ukr.net,"проспект Висока, буд. 773 кв. 3, Кролевець, 41722",088 164 25 01,1995-01-25
Тетяна Дейнеко,gvernydub@ukr.net,"узвіз Вільгельма Габсбурга, буд. 072 кв. 544, Сквира, 91154",+380 62 881 65 42,1996-10-02
Симон Редько,iefymenkotetiana@ukr.net,"вулиця Князівський, буд. 911 кв. 157, Стрий, 78528",+380 30 854 28 04,1962-03-02
Артем Жайворон,iurchyshynliubov@gmail.com,"шосе Польовий 1-й, буд. 7, Коростень, 10695",+380 79 352-40-98,1963-12-16
Данило Дурдинець,lradchenko@ukr.net,"шосе Новопланівська, буд. 256, Яготин, 37879",+380 (19) 765-21-90,1987-11-23
Валентина Ярема,frantslaba@gmail.com,"шосе Тещин міст, буд. 214 кв. 9, Снігурівка, 84186",004 550-09-74,1965-12-19
Віктор Вишняк,zarudnadavyd@nav4it.org,"узвіз Незамаївська, буд. 007 кв. 285, Бурштин, 36933",+380 (48) 908-15-18,2005-09-25
Вікторія Батюк,iustymkhudiak@ukr.net,"набережна Лавкова, буд. 522, Докучаєвськ, 42302",+380 27 245-38-33,1976-05-07
Богданна Журавель,leontii71@nav4it.org,"набережна Панаса Мирного, буд. 886 кв. 0, Золоте, 61359",+380 76 814 00 56,1960-06-03
Єфрем Масоха,teslenkoiefrem@ukr.net,"набережна Дмитра Годзенка, буд. 7 кв. 74, Полонне, 04738",+380 (45) 636-69-94,1969-07-22
Марія Стельмах,dzasenko@ukr.net,"набережна Суперфосфатна, буд. 943 кв. 5, Кипуче, 42685",053 613-33-67,1974-08-15
Дарина Карпенко,varvarazarudnyi@gmail.com,"провулок Республіканська, буд. 16 кв. 44, Чорноморськ, 20307",+380 (42) 370-44-57,1987-01-09
Богданна Романчук,emiliia12@nav4it.org,"набережна Вишневий, буд. 364 кв. 080, Горішні Плавні, 47983",+380 (90) 967-07-77,2004-07-29
Хома Вівчаренко,galaganleontii@ukr.net,"шосе Закарпатська, буд. 37 кв. 12, Кобеляки, 62585",006 430-72-24,1979-07-03
Ірена Мамчур,myroslav01@gmail.com,"проспект Сортувальна 1-ша, буд. 86, Вознесенськ, 29788",+380 43 259-55-16,2000-04-19
Клавдія Шеремета,oshvaika@gmail.com,"провулок Скидановський узвіз, буд. 510 кв. 9, Умань, 40459",062 747-79-94,1992-06-28
Аврелій Демʼяненко,marta96@ukr.net,"провулок Ветеранів праці, буд. 97 кв. 469, Амвросіївка, 60282",+380 47 220 44 84,2002-11-22
Арсен Салій,stepan65@gmail.com,"сквер Лінія 30-та, буд. 0, Вінниця, 71360",+380 (13) 232-75-51,1964-07-31
Святослава Тиха,zaikairena@gmail.com,"сквер Лузанівський, буд. 91 кв. 1, Покров, 37178",+380 (78) 790-48-02,1975-06-19
пан Мартин Захаренко,pbakumenko@ukr.net,"шосе Одеська, буд. 983, Чугуїв, 69345",007 616 14 67,1987-11-23
Орина Пʼятаченко,baranetsorkhyp@ukr.net,"парк Матроський узвіз, буд. 992 кв. 027, Кропивницький, 45053",126-44-33,2001-08-18
Едуард Цушко,myron11@ukr.net,"парк Авіаторів, буд. 3 кв. 329, Нікополь, 70586",+380 (77) 547-52-79,1990-09-15
Ліза Александренко,gvenhrynovych@nav4it.org,"узвіз Квіткова, буд. 738 кв. 24, Батурин, 07834",010 431 88 93,1963-10-20
Тереза Худобʼяк,alevtyn87@nav4it.org,"шосе Регенсбург, буд. 33, Золотоноша, 74213",+380 23 743-89-90,1959-10-04
Олесь Вдовенко,ashakhrai@nav4it.org,"набережна Віри Інбер, буд. 05, Буринь, 68389",517-08-86,1984-04-23
Бандура Оксенія Тимофіївна,artymyshyndemian@ukr.net,"шосе Деревообробний 3-й, буд. 6, Ковель, 17279",+380 (16) 029-39-85,1979-02-18
Омелян Яремко,odarkabaturynets@nav4it.org,"вулиця Павла Вірського, буд. 3, Ямпіль, 39907",579-64-20,2002-03-30
Рябошапка Христина Демидівна,ustymkolisnychenko@gmail.com,"проспект 1-й Академічний тупик, буд. 99, Чорнобиль, 88894",014 924-86-84,1982-09-26
Марʼяна Стус,baidaksolomon@gmail.com,"парк Китобійна, буд. 93, Рава-Руська, 89226",+380 62 116 07 06,1991-12-30
пан Альберт Чалий,mariana82@gmail.com,"провулок Маланова, буд. 69, Кам'янець-Подільський, 99859",065 854-67-20,1999-10-17
Спас Гаврилюк,ztiahnybok@gmail.com,"набережна Гетьманський, буд. 41, Бориспіль, 57469",074 154-25-10,1985-04-29
пан Юстим Аверченко,tkachenkoboryslav@nav4it.org,"сквер Аркадіївський, буд. 37, Ічня, 33079",879 62 35,1983-03-11
Рубан Емілія Богодарівна,mykytaandriienko@gmail.com,"набережна Балтський 1-й, буд. 98, Єнакієве, 46040",+380 (27) 622-23-25,1982-02-05
Анжела Бебешко,panteleimonbabiak@nav4it.org,"набережна Юхима Фесенка, буд. 6 кв. 799, Мостиська, 47656",+380 03 935-57-63,1992-11-06
Вікторія Колісниченко,disaienko@nav4it.org,"набережна Миколи Савича, буд. 83 кв. 035, Багачеве, 89392",+380 (12) 418-55-77,1984-05-21
Володимира Тимчук,apavlenko@ukr.net,"проспект Маріупольська, буд. 7 кв. 2, Ізяслав, 82925",+380 19 783 43 39,1983-07-13
Пармен Атрощенко,anzhela95@nav4it.org,"сквер Учительський, буд. 27, Жашків, 81885",016-13-29,1999-03-11
Тетяна Іваничук,dankivvalentyna@ukr.net,"проспект Жолкова Бориса, буд. 93 кв. 4, Довжанськ, 42748",581-08-29,1976-11-09
пан Андрій Михалюк,cherednykoleh@ukr.net,"вулиця Цимлянська, буд. 6 кв. 8, Берислав, 64942",+380 47 801-91-89,2005-10-02
Михайлина Заїка,velychkoanastasiia@nav4it.org,"набережна Манежний, буд. 1, Горішні Плавні, 41707",+380 15 328-32-66,1984-12-14
Святослава Сомко,davyd68@nav4it.org,"проспект Олександра Ройтбурда, буд. 67 кв. 01, Ківерці, 21274",662-29-13,2006-03-20
пан Володимир Саченко,aperebyinis@gmail.com,"проспект Климовича, буд. 900, Косів, 99679",754 29 86,1988-03-07
Еріка Приймак,demian19@ukr.net,"шосе Хвойний, буд. 98, Селидове, 29779",284 92 58,1974-09-11
пан Мирослав Бараник,liza80@nav4it.org,"площа Прилуцький, буд. 6, Чигирин, 98992",+380 (44) 943-29-08,1983-06-15
Вовк Ольга Олегівна,chalamarusia@gmail.com,"шосе 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 5 кв. 908, Шпола, 03446",004 459 04 77,1984-08-22
Наталія Худяк,goliashbohuslava@gmail.com,"проспект Пересипська 10-та, буд. 88 кв. 4, Вовчанськ, 29543",+380 (83) 701-00-16,1986-10-23
Наталія Рябченко,nsirchenko@ukr.net,"сквер Романтичний, буд. 307, Теребовля, 21917",451-53-15,1965-01-19
Амалія Гаврилюк,spasilchenko@ukr.net,"вулиця Пiвденний, буд. 3, Голубівка, 18698",663 69 80,1968-11-01
Аркадій Ярош,ovakhnii@ukr.net,"сквер Мелодійний, буд. 249, Святогірськ, 95894",+380 86 449-00-46,1984-04-09
Симон Щербань,myroslav89@ukr.net,"узвіз Сосюри, буд. 173 кв. 316, Гнівань, 40999",591 86 45,1980-05-30
